x=647, y=567..595
x=484, y=1534..1544
x=637, y=1304..1317
x=596, y=58..65
x=524, y=467..477
x=606, y=1078..1094
x=582, y=870..876
y=1720, x=485..512
x=537, y=105..111
x=587, y=1342..1367
x=581, y=22..36
x=540, y=708..718
y=1602, x=487..490
x=546, y=1261..1277
x=476, y=663..677
x=515, y=472..474
y=1383, x=620..644
x=637, y=207..216
y=1740, x=533..541
x=489, y=1641..1660
y=790, x=658..673
x=665, y=1841..1851
x=676, y=255..259
x=523, y=1600..1617
y=1334, x=531..533
x=631, y=1301..1310
y=1876, x=608..664
x=541, y=1723..1740
y=1772, x=620..623
y=1682, x=630..632
x=504, y=591..602
x=575, y=1685..1688
x=668, y=185..204
x=459, y=943..966
x=489, y=529..546
x=632, y=1601..1614
y=929, x=534..555
x=524, y=550..562
x=656, y=719..721
y=94, x=552..571
x=449, y=617..632
x=634, y=297..314
x=618, y=1628..1640
x=464, y=1213..1223
x=630, y=149..168
x=566, y=1417..1439
x=669, y=1906..1919
y=1459, x=513..515
y=438, x=547..549
y=1587, x=557..571
y=663, x=664..666
x=595, y=483..507
x=495, y=399..412
x=448, y=1516..1536
x=652, y=1848..1859
y=1688, x=555..575
x=545, y=1577..1589
x=666, y=661..663
y=1045, x=505..507
x=617, y=1524..1534
x=641, y=1477..1489
y=235, x=511..524
x=485, y=1692..1720
x=542, y=1305..1323
x=611, y=129..137
x=562, y=995..1007
x=605, y=699..706
y=1544, x=476..484
y=876, x=494..497
y=475, x=601..623
y=1868, x=494..511
x=592, y=315..320
x=664, y=1071..1080
x=585, y=1741..1754
x=554, y=454..459
y=1719, x=529..543
x=585, y=1324..1333
y=580, x=492..494
y=234, x=568..571
x=635, y=1065..1082
x=489, y=284..295
x=482, y=1171..1174
x=523, y=978..990
x=531, y=1799..1810
x=482, y=1301..1307
x=518, y=7..21
y=1674, x=498..518
x=539, y=134..145
x=503, y=814..818
y=1047, x=469..494
x=644, y=274..277
x=591, y=288..291
x=631, y=1325..1334
x=503, y=443..453
x=575, y=1267..1277
x=664, y=1865..1876
y=255, x=467..489
x=628, y=530..536
y=352, x=470..487
x=604, y=788..790
x=542, y=1866..1869
y=36, x=555..581
x=541, y=474..487
x=623, y=1761..1772
x=500, y=320..329
x=515, y=1455..1459
x=490, y=1596..1602
x=675, y=610..620
x=481, y=339..349
x=569, y=1006..1014
x=623, y=1522..1531
y=168, x=630..642
x=514, y=1074..1085
x=621, y=1103..1112
y=386, x=524..533
x=500, y=1314..1321
y=1494, x=661..682
y=1438, x=591..600
y=456, x=465..485
x=512, y=79..103
x=459, y=685..695
y=1589, x=542..545
y=1480, x=537..541
y=1200, x=597..616
x=669, y=1011..1030
x=633, y=918..920
y=1048, x=498..514
y=1665, x=646..664
y=431, x=467..477
x=477, y=824..836
x=531, y=1331..1334
x=451, y=1661..1670
x=482, y=53..62
y=168, x=470..492
x=635, y=539..559
y=1899, x=654..676
x=473, y=506..513
x=600, y=174..177
x=480, y=1201..1205
y=1650, x=572..576
y=1612, x=597..601
x=571, y=76..94
y=828, x=576..582
x=447, y=1123..1126
x=552, y=1031..1041
y=1014, x=569..583
y=332, x=487..506
y=964, x=564..568
y=147, x=482..501
x=580, y=558..571
x=477, y=927..933
y=144, x=493..495
x=666, y=1011..1030
y=1594, x=535..551
x=449, y=926..933
x=531, y=777..779
x=682, y=1757..1778
x=470, y=1063..1078
x=640, y=1091..1116
x=547, y=727..733
y=1573, x=609..611
x=614, y=751..768
y=351, x=579..594
x=662, y=210..237
x=504, y=727..736
x=587, y=1163..1176
x=464, y=1166..1181
y=1824, x=474..476
x=549, y=426..438
x=562, y=650..654
x=497, y=1184..1193
x=474, y=1263..1266
x=654, y=1885..1899
x=560, y=1782..1795
x=674, y=823..847
x=504, y=827..836
y=349, x=475..481
x=552, y=671..676
x=470, y=35..61
y=847, x=672..674
y=858, x=534..540
x=522, y=1879..1889
x=619, y=1403..1422
x=501, y=803..805
x=477, y=1874..1876
y=822, x=496..511
x=467, y=1189..1202
x=535, y=1170..1197
x=542, y=165..167
y=70, x=658..677
y=1356, x=625..628
y=599, x=511..513
x=633, y=1018..1029
x=531, y=727..733
x=470, y=856..880
y=976, x=571..573
x=642, y=718..721
x=642, y=1235..1246
y=1085, x=496..514
x=646, y=1170..1175
x=477, y=41..49
y=594, x=543..550
y=150, x=603..621
x=513, y=1338..1346
x=513, y=1613..1626
x=540, y=1100..1106
x=630, y=1077..1094
y=658, x=545..570
x=534, y=1838..1844
y=1498, x=472..477
x=549, y=128..150
y=718, x=512..540
x=664, y=1644..1665
y=931, x=603..630
x=487, y=1121..1132
x=644, y=1785..1795
y=549, x=538..540
y=253, x=633..649
y=1492, x=633..649
y=1556, x=622..643
x=540, y=341..354
y=1380, x=545..555
y=344, x=459..465
y=1249, x=550..554
x=497, y=985..1002
x=675, y=1913..1915
y=967, x=515..517
x=523, y=1503..1521
y=800, x=505..528
y=549, x=553..555
y=1215, x=624..627
x=466, y=90..101
x=470, y=1282..1293
x=609, y=1006..1024
x=677, y=66..70
y=1798, x=460..477
y=44, x=591..618
x=480, y=71..85
x=635, y=1884..1911
x=577, y=955..968
y=507, x=571..595
x=627, y=750..768
x=632, y=1803..1817
y=1014, x=616..620
y=1568, x=595..599
y=1734, x=572..579
y=915, x=457..467
y=1350, x=670..675
y=1439, x=566..581
x=509, y=379..395
y=441, x=522..540
y=1795, x=550..560
y=658, x=623..640
y=1406, x=577..589
x=652, y=214..239
y=978, x=452..469
x=613, y=484..486
x=499, y=236..238
y=1876, x=477..479
x=550, y=1508..1526
x=506, y=1368..1370
x=607, y=788..790
x=652, y=413..420
x=622, y=1675..1687
x=496, y=1073..1085
x=601, y=430..435
x=446, y=423..436
x=552, y=77..94
x=555, y=918..929
y=291, x=591..593
x=583, y=1007..1014
x=660, y=608..633
x=596, y=1300..1302
x=454, y=776..804
x=658, y=540..567
x=519, y=1899..1903
x=547, y=1550..1553
x=492, y=666..668
x=571, y=223..234
y=505, x=648..670
x=577, y=9..12
y=276, x=489..507
y=1337, x=623..639
y=329, x=498..500
x=579, y=1818..1827
x=576, y=1648..1650
x=470, y=986..1002
x=547, y=426..438
y=1334, x=628..631
y=1048, x=622..644
x=515, y=666..676
y=392, x=500..503
y=741, x=492..512
x=565, y=600..624
x=628, y=861..862
x=599, y=644..655
y=240, x=583..603
x=461, y=1873..1898
y=1680, x=630..632
x=604, y=1649..1663
x=468, y=1607..1613
y=1179, x=469..488
y=1132, x=552..555
y=1243, x=647..649
y=1765, x=568..585
y=150, x=531..549
x=607, y=478..489
x=609, y=1454..1468
y=368, x=595..601
x=670, y=482..505
y=12, x=577..595
x=532, y=1516..1518
x=675, y=1347..1350
x=551, y=1147..1150
x=537, y=1839..1844
x=557, y=890..910
x=481, y=573..583
x=505, y=1186..1199
x=520, y=632..634
y=23, x=468..479
x=476, y=1824..1826
x=678, y=1414..1425
x=579, y=1523..1537
x=590, y=1033..1053
x=617, y=1303..1317
x=567, y=1791..1811
x=519, y=591..602
y=1792, x=633..636
y=1346, x=465..470
y=1464, x=623..626
x=520, y=1132..1134
y=207, x=461..463
x=600, y=1210..1222
y=1536, x=448..469
x=480, y=1171..1174
x=569, y=684..710
y=1591, x=448..475
x=644, y=1043..1048
x=597, y=711..739
x=581, y=1417..1439
x=625, y=103..114
y=760, x=505..525
x=555, y=495..520
x=623, y=919..923
y=245, x=551..577
y=521, x=501..521
x=637, y=367..394
y=1898, x=461..463
y=1199, x=488..505
x=538, y=1412..1428
y=204, x=668..674
y=624, x=552..565
x=498, y=1665..1674
x=494, y=1865..1868
x=592, y=1113..1126
y=1368, x=506..509
x=512, y=709..718
x=623, y=1328..1337
y=697, x=504..525
y=472, x=515..517
y=1583, x=500..507
y=451, x=633..645
x=547, y=300..304
x=514, y=691..693
y=1778, x=671..682
x=633, y=1479..1492
x=538, y=1878..1904
y=625, x=580..601
y=542, x=492..510
y=633, x=637..660
x=506, y=208..230
x=631, y=1832..1834
